hour,lead_bin,n,correction
0,0-12,152,-0.1
0,13-24,148,-0.0
0,25-48,289,-0.1
1,0-12,128,-0.0
1,13-24,128,-0.0
1,25-48,249,-0.0
2,0-12,108,0.1
2,13-24,108,0.1
2,25-48,209,-0.0
3,0-12,96,0.4
3,13-24,96,0.2
3,25-48,187,0.3
4,0-12,72,0.5
4,13-24,72,0.5
4,25-48,144,0.3
5,0-12,92,0.3
5,13-24,92,0.9
5,25-48,184,0.8
6,0-12,88,0.7
6,13-24,88,0.7
6,25-48,174,0.7
7,0-12,156,0.8
7,13-24,153,0.8
7,25-48,293,0.9
8,0-12,148,0.7
8,13-24,144,0.7
8,25-48,268,0.7
10,0-12,172,0.3
10,13-24,172,0.3
10,25-48,344,0.3
11,0-12,216,0.4
11,13-24,215,0.4
11,25-48,405,0.4
12,0-12,184,0.3
12,13-24,184,0.3
12,25-48,368,0.1
13,0-12,226,-0.2
13,13-24,224,-0.2
13,25-48,426,-0.2
14,0-12,196,-0.3
14,13-24,196,-0.3
14,25-48,392,-0.3
15,0-12,209,-0.5
15,13-24,204,-0.7
15,25-48,389,-0.5
16,0-12,172,-0.7
16,13-24,172,-0.7
16,25-48,344,-0.6
17,0-12,213,-0.9
17,13-24,208,-0.8
17,25-48,397,-0.8
18,0-12,196,-0.5
18,13-24,188,-0.5
18,25-48,360,-0.4
19,0-12,189,-0.1
19,13-24,184,-0.1
19,25-48,357,-0.1
20,0-12,169,-0.1
20,13-24,164,-0.1
20,25-48,317,-0.1
21,0-12,152,-0.1
21,13-24,152,-0.1
21,25-48,304,-0.1
22,0-12,171,0.1
22,13-24,164,0.1
22,25-48,319,0.1
23,0-12,143,0.1
23,13-24,140,0.1
23,25-48,271,-0.1
