site,nx,ny,base_dt,target_dt,lead_h,ta,rh,at
busan,98,76,2026-08-12 11:00,2026-08-12 12:00,1,29,60.0,29.4
busan,98,76,2026-08-12 11:00,2026-08-12 13:00,2,30,60.0,30.4
busan,98,76,2026-08-12 11:00,2026-08-12 14:00,3,30,60.0,30.4
busan,98,76,2026-08-12 11:00,2026-08-12 15:00,4,30,60.0,30.4
busan,98,76,2026-08-12 11:00,2026-08-12 16:00,5,30,60.0,30.4
busan,98,76,2026-08-12 11:00,2026-08-12 17:00,6,29,65.0,29.9
busan,98,76,2026-08-12 11:00,2026-08-12 18:00,7,28,70.0,29.3
busan,98,76,2026-08-12 11:00,2026-08-12 19:00,8,26,75.0,27.6
busan,98,76,2026-08-12 11:00,2026-08-12 20:00,9,26,75.0,27.6
busan,98,76,2026-08-12 11:00,2026-08-12 21:00,10,25,80.0,27.0
busan,98,76,2026-08-12 11:00,2026-08-12 22:00,11,25,80.0,27.0
busan,98,76,2026-08-12 11:00,2026-08-12 23:00,12,25,80.0,27.0
busan,98,76,2026-08-12 11:00,2026-08-13 00:00,13,25,80.0,27.0
busan,98,76,2026-08-12 11:00,2026-08-13 01:00,14,24,80.0,25.9
busan,98,76,2026-08-12 11:00,2026-08-13 02:00,15,24,75.0,25.6
busan,98,76,2026-08-12 11:00,2026-08-13 03:00,16,24,75.0,25.6
busan,98,76,2026-08-12 11:00,2026-08-13 04:00,17,24,75.0,25.6
busan,98,76,2026-08-12 11:00,2026-08-13 05:00,18,24,75.0,25.6
busan,98,76,2026-08-12 11:00,2026-08-13 06:00,19,24,80.0,25.9
busan,98,76,2026-08-12 11:00,2026-08-13 07:00,20,24,75.0,25.6
busan,98,76,2026-08-12 11:00,2026-08-13 08:00,21,26,70.0,27.2
busan,98,76,2026-08-12 11:00,2026-08-13 09:00,22,28,65.0,28.9
busan,98,76,2026-08-12 11:00,2026-08-13 10:00,23,29,60.0,29.4
busan,98,76,2026-08-12 11:00,2026-08-13 11:00,24,30,60.0,30.4
busan,98,76,2026-08-12 11:00,2026-08-13 12:00,25,31,60.0,31.4
busan,98,76,2026-08-12 11:00,2026-08-13 13:00,26,31,60.0,31.4
busan,98,76,2026-08-12 11:00,2026-08-13 14:00,27,31,60.0,31.4
busan,98,76,2026-08-12 11:00,2026-08-13 15:00,28,31,65.0,31.9
busan,98,76,2026-08-12 11:00,2026-08-13 16:00,29,31,70.0,32.3
busan,98,76,2026-08-12 11:00,2026-08-13 17:00,30,29,75.0,30.7
busan,98,76,2026-08-12 11:00,2026-08-13 18:00,31,28,75.0,29.7
busan,98,76,2026-08-12 11:00,2026-08-13 19:00,32,27,80.0,29.0
busan,98,76,2026-08-12 11:00,2026-08-13 20:00,33,26,80.0,28.0
busan,98,76,2026-08-12 11:00,2026-08-13 21:00,34,26,85.0,28.4
busan,98,76,2026-08-12 11:00,2026-08-13 22:00,35,26,85.0,28.4
busan,98,76,2026-08-12 11:00,2026-08-13 23:00,36,25,85.0,27.3
busan,98,76,2026-08-12 11:00,2026-08-14 00:00,37,25,85.0,27.3
busan,98,76,2026-08-12 11:00,2026-08-14 01:00,38,25,85.0,27.3
busan,98,76,2026-08-12 11:00,2026-08-14 02:00,39,25,85.0,27.3
busan,98,76,2026-08-12 11:00,2026-08-14 03:00,40,25,85.0,27.3
busan,98,76,2026-08-12 11:00,2026-08-14 04:00,41,24,85.0,26.3
busan,98,76,2026-08-12 11:00,2026-08-14 05:00,42,24,85.0,26.3
busan,98,76,2026-08-12 11:00,2026-08-14 06:00,43,24,85.0,26.3
busan,98,76,2026-08-12 11:00,2026-08-14 07:00,44,25,85.0,27.3
busan,98,76,2026-08-12 11:00,2026-08-14 08:00,45,26,80.0,28.0
busan,98,76,2026-08-12 11:00,2026-08-14 09:00,46,28,75.0,29.7
busan,98,76,2026-08-12 11:00,2026-08-14 10:00,47,29,70.0,30.3
busan,98,76,2026-08-12 11:00,2026-08-14 11:00,48,30,70.0,31.3
