stn_id,name,lat,lon,ht,ht_ta,ref_elev
90,속초,38.25085,128.56473,17.53,1.7,19.23
93,북춘천,37.94738,127.75443,95.78,1.5,97.28
95,철원,38.14787,127.3042,155.48,1.8,157.28
98,동두천,37.90188,127.0607,115.62,1.7,117.32
99,파주,37.88589,126.76648,30.59,1.7,32.29
100,대관령,37.67713,128.71834,772.43,1.7,774.13
101,춘천,37.90262,127.7357,75.82,1.5,77.32
102,백령도,37.97396,124.71237,36.0,1.8,37.8
104,북강릉,37.80456,128.85535,75.24,1.7,76.94
105,강릉,37.75147,128.89099,27.12,1.7,28.82
106,동해,37.50709,129.12433,40.46,1.7,42.16
108,서울,37.57142,126.9658,85.67,1.5,87.17
112,인천,37.47772,126.6249,68.99,1.6,70.59
114,원주,37.33749,127.94659,150.11,1.7,151.81
115,울릉도,37.48129,130.89863,221.14,1.6,222.74
119,수원,37.25746,126.983,39.81,1.6,41.41
121,영월,37.18126,128.45743,240.54,1.7,242.24
127,충주,36.97045,127.9525,114.85,1.65,116.5
129,서산,36.77658,126.4939,25.25,1.6,26.85
130,울진,36.99176,129.41278,48.98,1.75,50.73
131,청주,36.63924,127.44066,58.7,1.7,60.4
133,대전,36.37199,127.3721,67.79,1.4,69.19
135,추풍령,36.22025,127.99458,244.98,1.6,246.58
136,안동,36.57293,128.70733,141.26,1.8,143.06
137,상주,36.40837,128.15741,96.58,1.8,98.38
138,포항,36.03201,129.38002,3.94,1.6,5.54
140,군산,36.0053,126.76135,27.85,1.7,29.55
143,대구,35.87797,128.65296,54.27,1.8,56.07
146,전주,35.84092,127.11718,60.44,1.6,62.04
152,울산,35.58237,129.33469,81.14,1.8,82.94
155,창원,35.17019,128.57282,34.97,1.7,36.67
156,광주,35.17294,126.89156,70.28,1.7,71.98
159,부산,35.10468,129.03203,69.56,1.5,71.06
162,통영,34.84541,128.43561,31.24,1.5,32.74
165,목포,34.81732,126.38151,44.7,1.5,46.2
168,여수,34.73929,127.74063,65.93,1.5,67.43
169,흑산도,34.68719,125.45105,75.12,1.5,76.62
170,완도,34.3959,126.70182,35.37,1.5,36.87
172,고창,35.34824,126.599,52.42,1.8,54.22
174,순천,35.0204,127.3694,165.0,1.5,166.5
177,홍성,36.65759,126.68772,27.74,1.5,29.24
181,서청주,36.63994,127.38458,33.55,1.5,35.05
184,제주,33.51411,126.52969,20.79,1.7,22.49
185,고산,33.29382,126.16283,71.39,1.7,73.09
188,성산,33.38677,126.8802,20.34,1.7,22.04
189,서귀포,33.24616,126.5653,51.86,1.7,53.56
192,진주,35.16378,128.04004,29.35,1.8,31.15
201,강화,37.70739,126.44634,47.84,1.6,49.44
202,양평,37.48863,127.49446,47.26,1.9,49.16
203,이천,37.26399,127.48421,80.09,1.8,81.89
211,인제,38.05991,128.16811,202.0,1.5,203.5
212,홍천,37.6836,127.88043,140.2,1.6,141.8
216,태백,37.17038,128.98929,714.45,1.6,716.05
217,정선군,37.38071,128.67312,312.0,1.5,313.5
221,제천,37.15928,128.19433,264.62,1.5,266.12
226,보은,36.48761,127.73415,171.31,1.5,172.81
232,천안,36.76217,127.29282,84.78,1.8,86.58
235,보령,36.32724,126.55744,9.98,1.6,11.58
236,부여,36.27242,126.92079,13.42,1.7,15.12
238,금산,36.10563,127.48175,170.17,1.5,171.67
239,세종,36.48522,127.24438,89.5,1.6,91.1
243,부안,35.72961,126.71657,12.2,1.8,14.0
244,임실,35.61203,127.28556,247.04,1.8,248.84
245,정읍,35.56333,126.83904,68.7,1.9,70.6
247,남원,35.4213,127.39652,133.49,1.7,135.19
248,장수,35.65696,127.52031,406.87,1.6,408.47
251,고창군,35.42346,126.69231,50.0,1.5,51.5
252,영광군,35.28366,126.47784,37.2,1.5,38.7
253,김해시,35.22981,128.89075,54.59,1.7,56.29
254,순창군,35.37131,127.1286,129.38,1.6,130.98
255,북창원,35.22655,128.6726,50.95,1.8,52.75
257,양산시,35.30737,129.02009,6.29,1.8,8.09
258,보성군,34.76335,127.21226,1.41,1.5,2.91
259,강진군,34.64457,126.78408,16.19,1.5,17.69
260,장흥,34.68886,126.91951,43.99,1.5,45.49
261,해남,34.55375,126.56907,16.36,1.5,17.86
262,고흥,34.61826,127.27572,51.91,1.5,53.41
263,의령군,35.32258,128.28812,14.1,2.0,16.1
264,함양군,35.51138,127.74538,152.07,1.8,153.87
266,광양시,34.9434,127.6914,88.21,1.7,89.91
268,진도군,34.47296,126.25846,9.82,1.7,11.52
271,봉화,36.94361,128.91449,324.67,1.9,326.57
272,영주,36.87183,128.51687,211.32,1.91,213.23
273,문경,36.62727,128.14879,173.01,1.8,174.81
276,청송군,36.4351,129.04005,208.65,1.75,210.4
277,영덕,36.53337,129.40926,40.71,1.7,42.41
278,의성,36.3561,128.68864,81.44,1.7,83.14
279,구미,36.13055,128.32055,49.17,1.7,50.87
281,영천,35.97742,128.9514,96.12,1.7,97.82
283,경주시,35.81747,129.20123,40.13,1.4,41.53
284,거창,35.66739,127.9099,228.45,1.5,229.95
285,합천,35.56505,128.16994,26.72,1.5,28.22
288,밀양,35.49147,128.74412,8.31,2.0,10.31
289,산청,35.413,127.8791,138.22,1.6,139.82
294,거제,34.88818,128.60459,44.83,1.7,46.53
295,남해,34.81662,127.92641,45.71,1.8,47.51
296,북부산,35.21778,128.96024,3.0,1.5,4.5
