stn_id,name,lat,lon,ht,ht_ta,ref_elev
42,지점42,35.93681,126.59737,2.05,1.5,3.55
43,지점43,34.71083,126.41163,1.19,1.5,2.69
44,지점44,34.74476,126.4122,1.87,1.5,3.37
45,지점45,34.918889,128.118056,15.0,1.5,16.5
90,지점90,38.25085,128.56473,17.53,1.5,19.03
92,지점92,38.05903,128.66298,75.4,1.5,76.9
93,지점93,37.94738,127.75443,95.78,1.5,97.28
95,지점95,38.14787,127.3042,155.48,1.5,156.98
96,지점96,37.23952,131.86983,99.08,1.5,100.58
98,지점98,37.90188,127.0607,115.62,1.5,117.12
99,지점99,37.88589,126.76648,30.59,1.5,32.09
100,지점100,37.67713,128.71834,772.43,1.5,773.93
101,지점101,37.90262,127.7357,75.82,1.5,77.32
102,지점102,37.97396,124.71237,36.0,1.5,37.5
104,지점104,37.80456,128.85535,75.24,1.5,76.74
105,지점105,37.75147,128.89099,27.12,1.5,28.62
106,지점106,37.50709,129.12433,40.46,1.5,41.96
108,지점108,37.57142,126.9658,85.67,1.5,87.17
110,지점110,37.55891,126.79451,11.38,1.5,12.88
112,지점112,37.47772,126.6249,68.99,1.5,70.49
113,지점113,37.4625,126.44087,7.1,1.5,8.6
114,지점114,37.33749,127.94659,150.11,1.5,151.61
115,지점115,37.48129,130.89863,221.14,1.5,222.64
116,지점116,37.44526,126.96402,624.82,1.5,626.32
119,지점119,37.25746,126.983,39.81,1.5,41.31
121,지점121,37.18126,128.45743,240.54,1.5,242.04
127,지점127,36.97045,127.9525,114.85,1.5,116.35
128,지점128,36.71666667,127.5,58.0,1.5,59.5
129,지점129,36.77658,126.4939,25.25,1.5,26.75
130,지점130,36.99176,129.41278,48.98,1.5,50.48
131,지점131,36.63924,127.44066,58.7,1.5,60.2
133,지점133,36.37199,127.3721,67.79,1.5,69.29
135,지점135,36.22025,127.99458,244.98,1.5,246.48
136,지점136,36.57293,128.70733,141.26,1.5,142.76
137,지점137,36.40837,128.15741,96.58,1.5,98.08
138,지점138,36.03201,129.38002,3.94,1.5,5.44
139,지점139,35.9833,129.4167,21.0,1.5,22.5
140,지점140,36.0053,126.76135,27.85,1.5,29.35
142,지점142,35.89083333,128.66111111,35.4,1.5,36.9
143,지점143,35.87797,128.65296,54.27,1.5,55.77
146,지점146,35.84092,127.11718,60.44,1.5,61.94
151,지점151,35.59333333,129.35222222,12.6,1.5,14.1
152,지점152,35.58237,129.33469,81.14,1.5,82.64
153,지점153,35.16916667,128.93444444,4.0,1.5,5.5
155,지점155,35.17019,128.57282,34.97,1.5,36.47
156,지점156,35.17294,126.89156,70.28,1.5,71.78
158,지점158,35.125,126.81166666,12.8,1.5,14.3
159,지점159,35.10468,129.03203,69.56,1.5,71.06
160,지점160,35.11885,128.99993,549.15,1.5,550.65
161,지점161,35.08333333,128.06666666,8.0,1.5,9.5
162,지점162,34.84541,128.43561,31.24,1.5,32.74
163,지점163,34.99138888,126.38305555,10.9,1.5,12.4
165,지점165,34.81732,126.38151,44.7,1.5,46.2
167,지점167,34.84666667,127.6125,17.9,1.5,19.4
168,지점168,34.73929,127.74063,65.93,1.5,67.43
169,지점169,34.68719,125.45105,75.12,1.5,76.62
170,지점170,34.3959,126.70182,35.37,1.5,36.87
172,지점172,35.34824,126.599,52.42,1.5,53.92
174,지점174,35.0204,127.3694,165.0,1.5,166.5
175,지점175,34.47211,126.3238,478.51,1.5,480.01
177,지점177,36.65759,126.68772,27.74,1.5,29.24
181,지점181,36.63994,127.38458,33.55,1.5,35.05
182,지점182,33.51666667,126.5,26.5,1.5,28.0
184,지점184,33.51411,126.52969,20.79,1.5,22.29
185,지점185,33.29382,126.16283,71.39,1.5,72.89
188,지점188,33.38677,126.8802,20.34,1.5,21.84
189,지점189,33.24616,126.5653,51.86,1.5,53.36
192,지점192,35.16378,128.04004,29.35,1.5,30.85
201,지점201,37.70739,126.44634,47.84,1.5,49.34
202,지점202,37.48863,127.49446,47.26,1.5,48.76
203,지점203,37.26399,127.48421,80.09,1.5,81.59
211,지점211,38.05991,128.16811,202.0,1.5,203.5
212,지점212,37.6836,127.88043,140.2,1.5,141.7
216,지점216,37.17038,128.98929,714.45,1.5,715.95
217,지점217,37.38071,128.67312,312.0,1.5,313.5
221,지점221,37.15928,128.19433,264.62,1.5,266.12
226,지점226,36.48761,127.73415,171.31,1.5,172.81
229,지점229,36.62544,125.55954,104.81,1.5,106.31
230,지점230,37.2645,126.10297,12.0,1.5,13.5
232,지점232,36.76217,127.29282,84.78,1.5,86.28
235,지점235,36.32724,126.55744,9.98,1.5,11.48
236,지점236,36.27242,126.92079,13.42,1.5,14.92
238,지점238,36.10563,127.48175,170.17,1.5,171.67
239,지점239,36.48522,127.24438,89.5,1.5,91.0
